timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653928882345,24964,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-9,,true,,91224,3060,5,5,null,18633,1,87
1653928894744,12667,createUser/index.php-29,200,OK,Thread Group - CSV 1-6,text,true,,36095,1216,4,4,http://automationpractice.com/index.php?controller=authentication&back=my-account,5169,0,0
1653928894744,5169,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-6,text,true,,581,598,4,4,http://automationpractice.com/index.php?controller=my-account,5169,0,0
1653928899913,7498,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-6,text,true,,35514,618,4,4,http://automationpractice.com/index.php?controller=authentication&back=my-account,7304,0,0
1653928896929,10482,createUser/index.php-29,200,OK,Thread Group - CSV 1-1,text,true,,36091,1216,4,4,http://automationpractice.com/index.php?controller=authentication&back=my-account,4374,0,0
1653928896929,4374,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-1,text,true,,573,598,4,4,http://automationpractice.com/index.php?controller=my-account,4374,0,0
1653928901303,6108,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-1,text,true,,35518,618,4,4,http://automationpractice.com/index.php?controller=authentication&back=my-account,5908,0,0
1653928882189,25221,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-6,,true,,91254,3060,4,4,null,17020,2,80
1653928881941,25469,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-1,,true,,91228,3060,4,4,null,18134,2,231
1653928896901,10852,createUser/index.php-29,200,OK,Thread Group - CSV 1-4,text,true,,36099,1216,2,2,http://automationpractice.com/index.php?controller=authentication&back=my-account,5612,0,0
1653928896901,5612,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-4,text,true,,577,598,2,2,http://automationpractice.com/index.php?controller=my-account,5612,0,0
1653928902513,5240,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-4,text,true,,35522,618,2,2,http://automationpractice.com/index.php?controller=authentication&back=my-account,5027,0,0
1653928882088,25665,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-4,,true,,91254,3060,2,2,null,19045,1,85
1653928895814,11985,createUser/index.php-29,200,OK,Thread Group - CSV 1-8,text,true,,36087,1216,1,1,http://automationpractice.com/index.php?controller=authentication&back=my-account,5300,0,0
1653928895814,5300,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-8,text,true,,573,598,1,1,http://automationpractice.com/index.php?controller=my-account,5300,0,0
1653928901114,6685,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-8,text,true,,35514,618,1,1,http://automationpractice.com/index.php?controller=authentication&back=my-account,6519,0,0
1653928882293,25507,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-8,,true,,91228,3060,1,1,null,18014,0,84
